Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","032","Argentina","076","Brazil","5922","Export value","0115","Barley","1986","1986","1000 USD","115","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","076","Brazil","5922","Export value","0115","Barley","1987","1987","1000 USD","1438","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","076","Brazil","5922","Export value","0115","Barley","1988","1988","1000 USD","10753","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","076","Brazil","5922","Export value","0115","Barley","1989","1989","1000 USD","21340","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","076","Brazil","5922","Export value","0115","Barley","1990","1990","1000 USD","5522","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","152","Chile","5622","Import value","0115","Barley","1990","1990","1000 USD","70","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","858","Uruguay","5922","Export value","0115","Barley","1988","1988","1000 USD","1007","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","858","Uruguay","5922","Export value","0115","Barley","1989","1989","1000 USD","385","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","032","Argentina","5622","Import value","0115","Barley","1987","1987","1000 USD","1762","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","032","Argentina","5622","Import value","0115","Barley","1988","1988","1000 USD","16916","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","032","Argentina","5622","Import value","0115","Barley","1990","1990","1000 USD","6347","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","032","Argentina","5922","Export value","0115","Barley","1989","1989","1000 USD","10","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","032","Argentina","5922","Export value","01212","Cabbages","1988","1988","1000 USD","1","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","858","Uruguay","5622","Import value","0115","Barley","1986","1986","1000 USD","5023","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","858","Uruguay","5622","Import value","0115","Barley","1987","1987","1000 USD","2752","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","858","Uruguay","5622","Import value","0115","Barley","1988","1988","1000 USD","8237","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","858","Uruguay","5622","Import value","0115","Barley","1990","1990","1000 USD","8499","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","858","Uruguay","5922","Export value","0115","Barley","1988","1988","1000 USD","5","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","858","Uruguay","5922","Export value","0115","Barley","1989","1989","1000 USD","1","A","Official figure"
"TM","Detailed trade matrix","152","Chile","032","Argentina","5922","Export value","0115","Barley","1988","1988","1000 USD","0","A","Official figure"
"TM","Detailed trade matrix","152","Chile","604","Peru","5922","Export value","0115","Barley","1986","1986","1000 USD","67","A","Official figure"
"TM","Detailed trade matrix","152","Chile","604","Peru","5922","Export value","0115","Barley","1990","1990","1000 USD","66","A","Official figure"
"TM","Detailed trade matrix","218","Ecuador","604","Peru","5922","Export value","01929.07","Abaca, manila hemp, raw","1989","1989","1000 USD","38","A","Official figure"
"TM","Detailed trade matrix","218","Ecuador","604","Peru","5922","Export value","01929.07","Abaca, manila hemp, raw","1990","1990","1000 USD","94","A","Official figure"
"TM","Detailed trade matrix","604","Peru","152","Chile","5622","Import value","0115","Barley","1986","1986","1000 USD","85","A","Official figure"
"TM","Detailed trade matrix","858","Uruguay","032","Argentina","5622","Import value","0115","Barley","1988","1988","1000 USD","1466","A","Official figure"
"TM","Detailed trade matrix","858","Uruguay","032","Argentina","5922","Export value","0115","Barley","1989","1989","1000 USD","41","A","Official figure"
"TM","Detailed trade matrix","858","Uruguay","076","Brazil","5622","Import value","0115","Barley","1988","1988","1000 USD","5","A","Official figure"
"TM","Detailed trade matrix","858","Uruguay","076","Brazil","5622","Import value","0115","Barley","1989","1989","1000 USD","1","A","Official figure"
"TM","Detailed trade matrix","858","Uruguay","076","Brazil","5922","Export value","0115","Barley","1986","1986","1000 USD","6820","A","Official figure"
"TM","Detailed trade matrix","858","Uruguay","076","Brazil","5922","Export value","0115","Barley","1987","1987","1000 USD","3483","A","Official figure"
"TM","Detailed trade matrix","858","Uruguay","076","Brazil","5922","Export value","0115","Barley","1988","1988","1000 USD","9442","A","Official figure"
"TM","Detailed trade matrix","858","Uruguay","076","Brazil","5922","Export value","0115","Barley","1989","1989","1000 USD","17061","A","Official figure"
"TM","Detailed trade matrix","858","Uruguay","076","Brazil","5922","Export value","0115","Barley","1990","1990","1000 USD","8537","A","Official figure"
